"316245957;""026"";NULL;""0471"";""1412"";""0401"";""3"";""NP"";""SE"";""5"";""7"";""0"";""A"";""17"";""12/07/2016"";""02:57:20 a.m."";""NULL"""
"316245957;""026"";NULL;""0471"";""1410"";""0401"";""NP"";""NP"";""SE"";""23"";""31"";""0"";""A"";""17"";""12/07/2016"";""02:57:20 a.m."";""NULL"""
"316245957;""026"";NULL;""0471"";""1403"";""0401"";""6"";""NP"";""SE"";""2"";""6"";""0"";""A"";""17"";""12/07/2016"";""02:57:20 a.m."";""NULL"""
"316245957;""026"";NULL;""0471"";""1401"";""0401"";""6"";""5"";""SE"";""0"";""0"";""0"";""A"";""17"";""12/07/2016"";""02:57:20 a.m."";""NULL"""
"316245957;""026"";NULL;""0471"";""1402"";""0401"";""7"";""0"";""SE"";""0"";""11"";""0"";""A"";""17"";""12/07/2016"";""02:57:20 a.m."";""NULL"""
"316245957;""026"";NULL;""0471"";""1404"";""0401"";""5"";""6"";""SE"";""3"";""10"";""0"";""A"";""17"";""12/07/2016"";""02:57:20 a.m."";""NULL"""
"316222802;""026"";NULL;""0471"";""1402"";""0401"";""2"";""NP"";""SE"";""0"";""20"";""0"";""A"";""17"";""12/07/2016"";""02:57:20 a.m."";""NULL"""
"316222802;""026"";NULL;""0471"";""1410"";""0401"";""NP"";""NP"";""SE"";""22"";""29"";""0"";""A"";""17"";""12/07/2016"";""02:57:20 a.m."";""NULL"""
"316222802;""026"";NULL;""0471"";""1412"";""0401"";""8"";""6"";""SE"";""0"";""1"";""0"";""A"";""17"";""12/07/2016"";""02:57:20 a.m."";""NULL"""
"316222802;""026"";NULL;""0471"";""1404"";""0401"";""4"";""NP"";""SE"";""6"";""16"";""0"";""A"";""17"";""12/07/2016"";""02:57:20 a.m."";""NULL"""
"316222802;""026"";NULL;""0471"";""1405"";""0401"";""7"";""7"";""SE"";""4"";""10"";""0"";""A"";""17"";""12/07/2016"";""02:57:20 a.m."";""NULL"""
"316222802;""026"";NULL;""0471"";""1401"";""0401"";""NP"";""NP"";""SE"";""0"";""0"";""0"";""A"";""17"";""12/07/2016"";""02:57:20 a.m."";""NULL"""
"316222802;""026"";NULL;""0471"";""1403"";""0401"";""NP"";""4"";""SE"";""6"";""8"";""0"";""A"";""17"";""12/07/2016"";""02:57:20 a.m."";""NULL"""
"316222802;""026"";NULL;""0471"";""1400"";""0401"";""5"";""5"";""SE"";""6"";""0"";""0"";""A"";""17"";""12/07/2016"";""02:57:20 a.m."";""NULL"""
